id,date,time,temp,hum,vibr
,17/11/2021,20:50:10,28.32,47.44,0.09
,17/11/2021,20:50:47,28.32,47.50,0.07
,17/11/2021,20:51:51,28.32,47.65,0.08
,17/11/2021,20:52:08,28.32,47.60,0.06
,17/11/2021,20:52:28,28.32,47.67,0.06
,17/11/2021,20:53:05,28.33,47.76,0.07
,17/11/2021,20:54:08,28.32,47.81,0.05
,17/11/2021,20:54:44,28.33,47.78,0.08
,17/11/2021,20:56:43,28.33,48.18,0.09
,17/11/2021,20:58:41,28.33,48.49,0.08
,17/11/2021,20:59:03,28.34,48.49,0.06
,17/11/2021,21:00:05,28.34,48.49,0.08
,17/11/2021,21:00:40,28.33,48.89,0.07
,17/11/2021,21:01:08,28.34,48.80,0.07
,17/11/2021,21:02:15,28.36,48.75,0.07
,17/11/2021,21:03:46,28.36,48.99,0.05
,17/11/2021,21:04:00,28.37,48.95,0.09
,17/11/2021,21:04:37,28.36,48.97,0.05
,17/11/2021,21:08:07,28.36,49.42,0.05
,17/11/2021,21:08:26,28.37,49.33,0.08
,17/11/2021,21:09:06,28.37,49.35,0.08
,17/11/2021,21:09:58,28.37,49.57,0.09
,17/11/2021,21:11:40,28.36,49.70,0.08
,17/11/2021,21:12:00,28.37,49.89,0.08
,17/11/2021,21:12:32,28.38,49.90,0.10
,17/11/2021,21:14:23,28.38,50.16,0.06
,17/11/2021,21:14:43,28.38,50.14,0.09
,17/11/2021,21:14:58,28.38,50.14,0.09
,17/11/2021,21:15:31,28.40,50.14,0.06
,17/11/2021,21:15:51,28.38,50.16,0.10
,17/11/2021,21:18:12,28.37,50.22,0.06
,17/11/2021,21:18:36,28.38,50.40,0.08
,17/11/2021,21:20:16,28.37,50.54,0.09
,17/11/2021,21:20:47,28.37,50.46,0.08
,17/11/2021,21:22:33,28.37,50.99,0.09
,17/11/2021,21:24:24,28.37,50.97,0.06
,17/11/2021,21:25:04,28.37,51.01,0.08
,17/11/2021,21:25:27,28.38,51.06,0.07
,17/11/2021,21:26:08,28.38,51.11,0.09
,17/11/2021,21:26:43,28.38,51.26,0.07
,17/11/2021,21:28:23,28.38,51.58,0.06
,17/11/2021,21:30:32,28.37,51.74,0.06
,17/11/2021,21:30:59,28.37,51.80,0.06
,17/11/2021,21:31:21,28.37,51.80,0.06
,17/11/2021,21:31:59,28.37,52.06,0.08
,17/11/2021,21:33:14,28.37,52.14,0.06
,17/11/2021,21:35:33,28.36,52.31,0.09
,17/11/2021,21:38:22,28.36,52.77,0.07
,17/11/2021,21:39:30,28.37,52.70,0.08
,17/11/2021,21:40:05,28.37,52.70,0.08
,17/11/2021,21:40:45,28.36,53.00,0.07
,17/11/2021,21:41:25,28.36,53.67,0.06
,17/11/2021,21:42:05,28.36,53.15,0.08
,17/11/2021,21:42:14,28.36,53.05,0.07
,18/11/2021,00:38:44,28.07,63.35,0.07
,18/11/2021,00:39:33,28.06,64.40,0.09
,18/11/2021,00:40:13,28.07,63.95,0.06
,18/11/2021,00:41:16,28.06,63.64,0.08
,18/11/2021,00:41:52,28.06,62.95,0.08
,18/11/2021,00:42:13,28.07,62.55,0.06
,18/11/2021,00:42:51,28.06,62.76,0.09
,18/11/2021,00:43:55,28.06,63.49,0.08
,18/11/2021,00:44:31,28.07,63.24,0.05
,18/11/2021,00:45:09,28.06,63.49,0.08
,18/11/2021,00:45:31,28.07,64.12,0.08
,18/11/2021,00:46:33,28.06,64.31,0.10
,18/11/2021,00:47:08,28.04,64.22,0.07
,18/11/2021,00:47:47,28.04,64.07,0.08
,18/11/2021,00:48:51,28.04,64.93,0.07
,18/11/2021,00:49:26,28.03,64.48,0.06
,18/11/2021,00:49:58,28.03,63.73,0.06
,18/11/2021,00:50:26,28.03,63.60,0.05
,18/11/2021,00:50:47,28.02,63.31,0.07
,18/11/2021,00:51:25,28.03,64.37,0.05
,18/11/2021,00:51:47,28.02,63.96,0.11
,18/11/2021,00:52:07,28.02,63.59,0.08
,18/11/2021,00:53:45,28.00,64.03,0.07
,18/11/2021,00:54:23,28.00,63.75,0.10
,18/11/2021,00:55:03,28.00,63.78,0.07
,18/11/2021,00:55:28,28.02,63.98,0.08
,18/11/2021,00:56:02,28.02,63.73,0.11
,18/11/2021,00:56:41,28.02,65.12,0.08
,18/11/2021,00:57:45,28.00,64.59,0.09
,18/11/2021,00:58:09,27.99,64.34,0.08
,18/11/2021,00:58:40,28.00,64.14,0.07
,18/11/2021,00:59:02,28.00,64.20,0.07
,18/11/2021,00:59:22,27.99,64.50,0.07
,18/11/2021,00:59:59,27.99,63.71,0.10
,18/11/2021,01:00:39,27.98,63.30,0.05
,18/11/2021,01:01:18,28.00,63.49,0.08
,18/11/2021,01:02:22,27.99,64.23,0.07
,18/11/2021,01:02:58,28.00,64.57,0.08
,18/11/2021,01:03:24,27.98,63.85,0.08
,18/11/2021,01:03:39,27.98,63.64,0.08
,18/11/2021,01:04:41,27.96,64.64,0.08
,18/11/2021,01:05:16,27.98,64.51,0.05
,18/11/2021,01:05:38,27.96,64.34,0.09
,18/11/2021,04:23:10,27.57,67.78,0.07
,18/11/2021,04:23:32,27.57,67.66,0.06
,18/11/2021,04:23:42,27.57,67.76,0.07
